name,kind,m,n,params,full_rank,r90,r95,r99,r999,C_at_r95,stable_rank,secs
token_embd.weight,embed,151936,1024,155582464,1024,832,915,993,1019,1.112,8.9,4.5
blk.0.attn_k.weight,attn_k,1024,1024,1048576,1024,459,565,743,886,0.906,15.0,0.1
blk.0.attn_output.weight,attn_o,1024,2048,2097152,1024,768,868,978,1015,0.786,120.7,0.2
blk.0.attn_q.weight,attn_q,2048,1024,2097152,1024,608,735,918,1007,0.929,21.3,0.2
blk.0.attn_v.weight,attn_v,1024,1024,1048576,1024,536,625,779,906,0.819,201.0,0.1
blk.0.ffn_down.weight,ffn_down,1024,3072,3145728,1024,734,840,964,1013,0.914,124.0,0.3
blk.0.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,694,814,957,1008,0.943,67.3,0.2
blk.0.ffn_up.weight,ffn_up,3072,1024,3145728,1024,736,842,964,1007,0.912,272.6,0.2
blk.1.attn_k.weight,attn_k,1024,1024,1048576,1024,438,545,730,882,0.939,51.2,0.1
blk.1.attn_output.weight,attn_o,1024,2048,2097152,1024,566,695,895,1002,0.982,113.8,0.2
blk.1.attn_q.weight,attn_q,2048,1024,2097152,1024,553,688,893,1000,0.992,39.0,0.2
blk.1.attn_v.weight,attn_v,1024,1024,1048576,1024,494,598,770,904,0.856,142.4,0.1
blk.1.ffn_down.weight,ffn_down,1024,3072,3145728,1024,709,823,962,1014,0.933,113.9,0.3
blk.1.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,703,820,960,1011,0.937,72.2,0.2
blk.1.ffn_up.weight,ffn_up,3072,1024,3145728,1024,722,833,964,1010,0.922,224.9,0.2
blk.2.attn_k.weight,attn_k,1024,1024,1048576,1024,422,526,706,862,0.973,38.6,0.1
blk.2.attn_output.weight,attn_o,1024,2048,2097152,1024,569,699,899,1003,0.977,100.8,0.2
blk.2.attn_q.weight,attn_q,2048,1024,2097152,1024,530,663,874,995,1.03,35.6,0.2
blk.2.attn_v.weight,attn_v,1024,1024,1048576,1024,470,574,751,893,0.892,137.2,0.1
blk.2.ffn_down.weight,ffn_down,1024,3072,3145728,1024,710,821,955,1011,0.935,110.7,0.3
blk.2.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,690,810,955,1010,0.948,83.8,0.2
blk.2.ffn_up.weight,ffn_up,3072,1024,3145728,1024,719,830,962,1009,0.925,79.0,0.2
blk.3.attn_k.weight,attn_k,1024,1024,1048576,1024,427,530,710,864,0.966,80.6,0.1
blk.3.attn_output.weight,attn_o,1024,2048,2097152,1024,584,710,898,1000,0.962,138.6,0.2
blk.3.attn_q.weight,attn_q,2048,1024,2097152,1024,553,685,889,1000,0.997,56.7,0.2
blk.3.attn_v.weight,attn_v,1024,1024,1048576,1024,495,597,768,902,0.858,162.0,0.1
blk.3.ffn_down.weight,ffn_down,1024,3072,3145728,1024,700,811,951,1010,0.947,151.1,0.2
blk.3.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,697,812,953,1008,0.946,74.5,0.2
blk.3.ffn_up.weight,ffn_up,3072,1024,3145728,1024,720,830,960,1008,0.925,240.1,0.2
blk.4.attn_k.weight,attn_k,1024,1024,1048576,1024,442,544,723,874,0.941,51.9,0.1
blk.4.attn_output.weight,attn_o,1024,2048,2097152,1024,612,732,910,1003,0.933,160.0,0.2
blk.4.attn_q.weight,attn_q,2048,1024,2097152,1024,583,712,904,1003,0.959,65.4,0.1
blk.4.attn_v.weight,attn_v,1024,1024,1048576,1024,511,610,774,905,0.839,202.5,0.1
blk.4.ffn_down.weight,ffn_down,1024,3072,3145728,1024,694,804,947,1010,0.955,139.8,0.2
blk.4.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,688,803,948,1006,0.956,52.9,0.2
blk.4.ffn_up.weight,ffn_up,3072,1024,3145728,1024,716,825,956,1008,0.931,139.4,0.2
blk.5.attn_k.weight,attn_k,1024,1024,1048576,1024,441,545,726,878,0.939,66.5,0.1
blk.5.attn_output.weight,attn_o,1024,2048,2097152,1024,643,763,932,1010,0.895,163.6,0.2
blk.5.attn_q.weight,attn_q,2048,1024,2097152,1024,566,697,894,1000,0.979,51.9,0.2
blk.5.attn_v.weight,attn_v,1024,1024,1048576,1024,509,610,775,907,0.839,118.5,0.1
blk.5.ffn_down.weight,ffn_down,1024,3072,3145728,1024,696,808,950,1012,0.95,129.4,0.3
blk.5.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,681,797,944,1007,0.964,78.1,0.2
blk.5.ffn_up.weight,ffn_up,3072,1024,3145728,1024,706,816,952,1008,0.941,242.8,0.2
blk.6.attn_k.weight,attn_k,1024,1024,1048576,1024,383,485,668,832,1.056,77.6,0.1
blk.6.attn_output.weight,attn_o,1024,2048,2097152,1024,595,717,902,1001,0.952,126.5,0.2
blk.6.attn_q.weight,attn_q,2048,1024,2097152,1024,492,627,850,988,1.089,38.0,0.1
blk.6.attn_v.weight,attn_v,1024,1024,1048576,1024,487,590,761,899,0.868,178.2,0.1
blk.6.ffn_down.weight,ffn_down,1024,3072,3145728,1024,668,783,935,1007,0.981,132.6,0.2
blk.6.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,681,799,946,1005,0.961,64.8,0.2
blk.6.ffn_up.weight,ffn_up,3072,1024,3145728,1024,706,816,950,1006,0.941,276.2,0.2
blk.7.attn_k.weight,attn_k,1024,1024,1048576,1024,432,539,725,879,0.95,56.7,0.1
blk.7.attn_output.weight,attn_o,1024,2048,2097152,1024,587,708,892,997,0.964,144.5,0.2
blk.7.attn_q.weight,attn_q,2048,1024,2097152,1024,556,689,891,999,0.991,59.3,0.1
blk.7.attn_v.weight,attn_v,1024,1024,1048576,1024,504,603,769,902,0.849,177.1,0.2
blk.7.ffn_down.weight,ffn_down,1024,3072,3145728,1024,662,776,928,1005,0.99,94.3,2.4
blk.7.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,664,784,939,1005,0.98,65.1,1.2
blk.7.ffn_up.weight,ffn_up,3072,1024,3145728,1024,698,809,947,1006,0.949,230.6,0.2
blk.8.attn_k.weight,attn_k,1024,1024,1048576,1024,395,503,698,864,1.018,17.8,0.1
blk.8.attn_output.weight,attn_o,1024,2048,2097152,1024,572,696,883,993,0.981,92.0,0.2
blk.8.attn_q.weight,attn_q,2048,1024,2097152,1024,518,653,868,993,1.045,54.5,0.2
blk.8.attn_v.weight,attn_v,1024,1024,1048576,1024,466,570,748,891,0.898,56.8,0.1
blk.8.ffn_down.weight,ffn_down,1024,3072,3145728,1024,654,769,923,1004,0.999,98.5,0.3
blk.8.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,664,785,942,1007,0.978,74.3,0.2
blk.8.ffn_up.weight,ffn_up,3072,1024,3145728,1024,697,809,950,1007,0.949,198.0,0.2
blk.9.attn_k.weight,attn_k,1024,1024,1048576,1024,411,520,711,871,0.985,79.1,0.1
blk.9.attn_output.weight,attn_o,1024,2048,2097152,1024,575,696,884,993,0.981,107.0,0.2
blk.9.attn_q.weight,attn_q,2048,1024,2097152,1024,530,665,876,994,1.027,56.8,0.2
blk.9.attn_v.weight,attn_v,1024,1024,1048576,1024,485,589,761,898,0.869,159.7,0.1
blk.9.ffn_down.weight,ffn_down,1024,3072,3145728,1024,654,769,923,1004,0.999,105.1,0.3
blk.9.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,646,771,936,1006,0.996,75.1,0.2
blk.9.ffn_up.weight,ffn_up,3072,1024,3145728,1024,689,803,948,1007,0.956,236.0,0.2
blk.10.attn_k.weight,attn_k,1024,1024,1048576,1024,417,525,714,872,0.975,50.4,0.1
blk.10.attn_output.weight,attn_o,1024,2048,2097152,1024,583,700,877,988,0.975,124.5,0.2
blk.10.attn_q.weight,attn_q,2048,1024,2097152,1024,544,679,885,996,1.005,61.9,0.2
blk.10.attn_v.weight,attn_v,1024,1024,1048576,1024,484,584,755,894,0.877,149.9,0.1
blk.10.ffn_down.weight,ffn_down,1024,3072,3145728,1024,667,782,933,1006,0.982,112.9,0.3
blk.10.ffn_gate.weight,ffn_gate,3072,1024,3145728,1024,641,767,934,1006,1.001,85.9,0.2
