name,qtype,m,n,rel_rmse,r90,r95,stable_rank,recov@r16,recov@r32,recov@r64,recov@r128
token_embd.weight,14,151936,1024,0.0178,900,961,228.6,0.028,0.051,0.093,0.167
blk.0.attn_k.weight,10,1024,1024,0.2989,490,595,64.6,0.125,0.191,0.291,0.449
blk.0.attn_output.weight,11,1024,2048,0.1516,652,774,159.4,0.06,0.109,0.194,0.335
blk.0.attn_q.weight,10,2048,1024,0.3019,642,765,100.5,0.087,0.142,0.226,0.361
blk.0.attn_v.weight,11,1024,1024,0.153,514,617,246.5,0.061,0.116,0.217,0.386
blk.0.ffn_down.weight,11,1024,3072,0.154,739,849,139.6,0.042,0.078,0.145,0.265
blk.0.ffn_gate.weight,10,3072,1024,0.2988,726,840,340.7,0.044,0.084,0.157,0.284
blk.0.ffn_up.weight,10,3072,1024,0.2998,742,851,407.3,0.038,0.074,0.141,0.261
blk.1.attn_k.weight,10,1024,1024,0.2994,480,586,144.6,0.094,0.166,0.281,0.453
blk.1.attn_output.weight,11,1024,2048,0.1519,654,773,166.6,0.051,0.095,0.176,0.317
blk.1.attn_q.weight,10,2048,1024,0.2991,629,755,152.9,0.084,0.15,0.249,0.386
blk.1.attn_v.weight,11,1024,1024,0.1521,515,617,248.5,0.061,0.116,0.216,0.385
blk.1.ffn_down.weight,11,1024,3072,0.156,736,847,126.7,0.044,0.08,0.147,0.268
blk.1.ffn_gate.weight,10,3072,1024,0.2962,731,843,388.6,0.04,0.077,0.146,0.269
blk.1.ffn_up.weight,10,3072,1024,0.2989,732,844,369.0,0.041,0.078,0.148,0.272
blk.2.attn_k.weight,10,1024,1024,0.2988,473,576,140.6,0.092,0.161,0.276,0.451
blk.2.attn_output.weight,11,1024,2048,0.152,658,778,143.0,0.054,0.099,0.18,0.319
blk.2.attn_q.weight,10,2048,1024,0.3004,628,755,155.6,0.085,0.152,0.256,0.393
blk.2.attn_v.weight,11,1024,1024,0.1524,502,605,228.3,0.065,0.124,0.229,0.402
blk.2.ffn_down.weight,11,1024,3072,0.1557,738,848,88.5,0.047,0.082,0.149,0.269
blk.2.ffn_gate.weight,10,3072,1024,0.2976,727,840,352.6,0.041,0.079,0.149,0.274
blk.2.ffn_up.weight,10,3072,1024,0.2989,737,848,288.7,0.042,0.079,0.147,0.268
blk.3.attn_k.weight,10,1024,1024,0.3025,467,572,118.4,0.102,0.175,0.291,0.465
blk.3.attn_output.weight,11,1024,2048,0.152,650,768,187.7,0.051,0.096,0.178,0.319
blk.3.attn_q.weight,10,2048,1024,0.3002,630,756,144.3,0.086,0.15,0.248,0.385
blk.3.attn_v.weight,11,1024,1024,0.1532,509,612,233.9,0.063,0.12,0.223,0.394
blk.3.ffn_down.weight,11,1024,3072,0.1543,734,845,174.6,0.042,0.078,0.146,0.267
blk.3.ffn_gate.weight,10,3072,1024,0.2976,730,842,341.0,0.041,0.078,0.148,0.272
blk.3.ffn_up.weight,10,3072,1024,0.2991,735,846,380.3,0.04,0.077,0.146,0.268
blk.4.attn_k.weight,10,1024,1024,0.2996,476,580,156.5,0.087,0.159,0.273,0.447
blk.4.attn_output.weight,11,1024,2048,0.1523,659,776,196.7,0.048,0.091,0.17,0.309
blk.4.attn_q.weight,10,2048,1024,0.2989,642,765,151.8,0.074,0.129,0.216,0.354
blk.4.attn_v.weight,11,1024,1024,0.1529,510,613,243.7,0.062,0.118,0.22,0.39
blk.4.ffn_down.weight,11,1024,3072,0.1552,736,846,156.6,0.042,0.078,0.146,0.266
blk.4.ffn_gate.weight,10,3072,1024,0.2968,731,843,360.8,0.04,0.078,0.148,0.272
blk.4.ffn_up.weight,10,3072,1024,0.2987,735,846,377.0,0.04,0.077,0.146,0.268
blk.5.attn_k.weight,10,1024,1024,0.2983,488,593,139.8,0.088,0.154,0.263,0.434
blk.5.attn_output.weight,11,1024,2048,0.1509,669,787,182.2,0.049,0.092,0.171,0.307
blk.5.attn_q.weight,10,2048,1024,0.3003,636,761,146.5,0.087,0.152,0.245,0.378
blk.5.attn_v.weight,11,1024,1024,0.1532,514,616,247.0,0.061,0.117,0.217,0.386
blk.5.ffn_down.weight,11,1024,3072,0.1545,737,847,158.8,0.042,0.078,0.145,0.265
blk.5.ffn_gate.weight,10,3072,1024,0.2974,731,843,373.2,0.041,0.078,0.148,0.272
blk.5.ffn_up.weight,10,3072,1024,0.2987,736,847,388.2,0.039,0.076,0.144,0.266
blk.6.attn_k.weight,10,1024,1024,0.3018,446,550,115.0,0.1,0.174,0.296,0.48
blk.6.attn_output.weight,11,1024,2048,0.152,647,765,166.2,0.051,0.095,0.176,0.316
blk.6.attn_q.weight,10,2048,1024,0.2993,605,735,115.8,0.103,0.184,0.304,0.438
blk.6.attn_v.weight,11,1024,1024,0.1529,505,608,234.1,0.064,0.122,0.226,0.399
blk.6.ffn_down.weight,11,1024,3072,0.1549,730,840,148.0,0.043,0.079,0.147,0.269
blk.6.ffn_gate.weight,10,3072,1024,0.2978,731,844,359.2,0.041,0.079,0.149,0.273
blk.6.ffn_up.weight,10,3072,1024,0.2988,734,846,375.8,0.04,0.077,0.145,0.268
blk.7.attn_k.weight,10,1024,1024,0.2987,489,594,164.0,0.083,0.15,0.261,0.435
blk.7.attn_output.weight,11,1024,2048,0.1519,651,767,159.3,0.05,0.093,0.172,0.311
blk.7.attn_q.weight,10,2048,1024,0.2994,643,767,141.2,0.082,0.141,0.227,0.362
blk.7.attn_v.weight,11,1024,1024,0.1528,513,616,240.7,0.061,0.118,0.218,0.388
blk.7.ffn_down.weight,11,1024,3072,0.1549,721,831,115.7,0.045,0.082,0.15,0.273
blk.7.ffn_gate.weight,10,3072,1024,0.2969,727,841,366.6,0.042,0.08,0.151,0.277
blk.7.ffn_up.weight,10,3072,1024,0.2987,733,844,340.0,0.042,0.079,0.149,0.272
blk.8.attn_k.weight,10,1024,1024,0.3027,464,572,49.9,0.118,0.188,0.304,0.478
blk.8.attn_output.weight,11,1024,2048,0.152,643,758,107.0,0.055,0.099,0.18,0.32
blk.8.attn_q.weight,10,2048,1024,0.2997,614,742,179.4,0.077,0.141,0.246,0.4
blk.8.attn_v.weight,11,1024,1024,0.1525,512,614,242.6,0.062,0.118,0.22,0.389
blk.8.ffn_down.weight,11,1024,3072,0.1546,715,823,121.8,0.045,0.082,0.151,0.274
blk.8.ffn_gate.weight,10,3072,1024,0.2978,725,839,236.3,0.044,0.083,0.154,0.28
blk.8.ffn_up.weight,10,3072,1024,0.2987,734,845,383.2,0.039,0.076,0.145,0.268
blk.9.attn_k.weight,10,1024,1024,0.3029,476,582,105.7,0.1,0.168,0.281,0.456
blk.9.attn_output.weight,11,1024,2048,0.1519,643,760,125.6,0.055,0.101,0.183,0.324
blk.9.attn_q.weight,10,2048,1024,0.3001,616,744,141.7,0.08,0.145,0.25,0.4
blk.9.attn_v.weight,11,1024,1024,0.1541,502,606,229.5,0.065,0.124,0.229,0.403
blk.9.ffn_down.weight,11,1024,3072,0.1558,714,824,132.4,0.045,0.082,0.152,0.277
blk.9.ffn_gate.weight,10,3072,1024,0.2979,719,834,345.5,0.044,0.084,0.158,0.286
blk.9.ffn_up.weight,10,3072,1024,0.2989,733,844,384.7,0.04,0.077,0.146,0.269
blk.10.attn_k.weight,10,1024,1024,0.2978,489,593,114.2,0.082,0.149,0.26,0.433
blk.10.attn_output.weight,11,1024,2048,0.1523,645,759,160.1,0.053,0.097,0.177,0.316
blk.10.attn_q.weight,10,2048,1024,0.2994,644,768,164.9,0.078,0.136,0.222,0.357
blk.10.attn_v.weight,11,1024,1024,0.1528,513,615,241.9,0.062,0.118,0.219,0.388
blk.10.ffn_down.weight,11,1024,3072,0.1576,721,832,135.8,0.044,0.082,0.151,0.275
blk.10.ffn_gate.weight,10,3072,1024,0.2992,709,827,318.5,0.046,0.087,0.164,0.295
blk.10.ffn_up.weight,10,3072,1024,0.3002,732,844,382.9,0.04,0.077,0.147,0.27
blk.11.attn_k.weight,10,1024,1024,0.3043,460,563,149.8,0.086,0.155,0.273,0.457
blk.11.attn_output.weight,11,1024,2048,0.153,644,766,125.4,0.064,0.112,0.195,0.336
blk.11.attn_q.weight,10,2048,1024,0.3009,590,723,126.9,0.1,0.178,0.298,0.453
