name,kind,whitened,full_rank,w@r16,u@r16,w@r32,u@r32,w@r64,u@r64,w@r128,u@r128
token_embd.weight,embed,False,1024,0.028,0.028,0.051,0.051,0.093,0.093,0.167,0.167
blk.0.attn_k.weight,attn_k,True,1024,0.368,0.125,0.462,0.191,0.552,0.291,0.664,0.449
blk.0.attn_output.weight,attn_o,True,1024,0.166,0.06,0.252,0.109,0.366,0.194,0.519,0.335
blk.0.attn_q.weight,attn_q,True,1024,0.36,0.087,0.441,0.142,0.519,0.226,0.618,0.361
blk.0.attn_v.weight,attn_v,True,1024,0.295,0.061,0.369,0.116,0.454,0.217,0.582,0.386
blk.0.ffn_down.weight,ffn_down,True,1024,0.115,0.042,0.175,0.078,0.259,0.145,0.384,0.265
blk.0.ffn_gate.weight,ffn_gate,True,1024,0.432,0.044,0.465,0.084,0.518,0.157,0.602,0.284
blk.0.ffn_up.weight,ffn_up,True,1024,0.464,0.038,0.492,0.074,0.539,0.141,0.615,0.261
blk.1.attn_k.weight,attn_k,True,1024,0.454,0.094,0.512,0.166,0.594,0.281,0.705,0.453
blk.1.attn_output.weight,attn_o,True,1024,0.127,0.051,0.197,0.095,0.3,0.176,0.454,0.317
blk.1.attn_q.weight,attn_q,True,1024,0.494,0.084,0.543,0.15,0.609,0.249,0.695,0.386
blk.1.attn_v.weight,attn_v,True,1024,0.311,0.061,0.364,0.116,0.449,0.216,0.579,0.385
blk.1.ffn_down.weight,ffn_down,True,1024,0.089,0.044,0.142,0.08,0.23,0.147,0.369,0.268
blk.1.ffn_gate.weight,ffn_gate,True,1024,0.709,0.04,0.728,0.077,0.756,0.146,0.799,0.269
blk.1.ffn_up.weight,ffn_up,True,1024,0.766,0.041,0.78,0.078,0.802,0.148,0.835,0.272
blk.2.attn_k.weight,attn_k,True,1024,0.49,0.092,0.555,0.161,0.644,0.276,0.753,0.451
blk.2.attn_output.weight,attn_o,True,1024,0.08,0.054,0.141,0.099,0.242,0.18,0.401,0.319
blk.2.attn_q.weight,attn_q,True,1024,0.521,0.085,0.576,0.152,0.649,0.256,0.739,0.393
blk.2.attn_v.weight,attn_v,True,1024,0.349,0.065,0.413,0.124,0.51,0.229,0.642,0.402
blk.2.ffn_down.weight,ffn_down,True,1024,0.993,0.047,0.994,0.082,0.994,0.149,0.995,0.269
blk.2.ffn_gate.weight,ffn_gate,True,1024,0.645,0.041,0.667,0.079,0.702,0.149,0.755,0.274
blk.2.ffn_up.weight,ffn_up,True,1024,0.715,0.042,0.731,0.079,0.757,0.147,0.796,0.268
blk.3.attn_k.weight,attn_k,True,1024,0.545,0.102,0.611,0.175,0.683,0.291,0.773,0.465
blk.3.attn_output.weight,attn_o,True,1024,0.19,0.051,0.252,0.096,0.34,0.178,0.469,0.319
blk.3.attn_q.weight,attn_q,True,1024,0.541,0.086,0.601,0.15,0.663,0.248,0.739,0.385
blk.3.attn_v.weight,attn_v,True,1024,0.373,0.063,0.428,0.12,0.505,0.223,0.622,0.394
blk.3.ffn_down.weight,ffn_down,True,1024,0.09,0.042,0.142,0.078,0.226,0.146,0.358,0.267
blk.3.ffn_gate.weight,ffn_gate,True,1024,0.63,0.041,0.652,0.078,0.686,0.148,0.739,0.272
blk.3.ffn_up.weight,ffn_up,True,1024,0.665,0.04,0.683,0.077,0.71,0.146,0.755,0.268
blk.4.attn_k.weight,attn_k,True,1024,0.596,0.087,0.653,0.159,0.715,0.273,0.794,0.447
blk.4.attn_output.weight,attn_o,True,1024,0.12,0.048,0.189,0.091,0.297,0.17,0.456,0.309
blk.4.attn_q.weight,attn_q,True,1024,0.593,0.074,0.645,0.129,0.694,0.216,0.758,0.354
blk.4.attn_v.weight,attn_v,True,1024,0.442,0.062,0.494,0.118,0.561,0.22,0.664,0.39
blk.4.ffn_down.weight,ffn_down,True,1024,0.094,0.042,0.151,0.078,0.24,0.146,0.376,0.266
blk.4.ffn_gate.weight,ffn_gate,True,1024,0.543,0.04,0.573,0.078,0.612,0.148,0.675,0.272
blk.4.ffn_up.weight,ffn_up,True,1024,0.561,0.04,0.585,0.077,0.62,0.146,0.677,0.268
blk.5.attn_k.weight,attn_k,True,1024,0.608,0.088,0.665,0.154,0.723,0.263,0.799,0.434
blk.5.attn_output.weight,attn_o,True,1024,0.134,0.049,0.2,0.092,0.303,0.171,0.452,0.307
blk.5.attn_q.weight,attn_q,True,1024,0.603,0.087,0.657,0.152,0.711,0.245,0.776,0.378
blk.5.attn_v.weight,attn_v,True,1024,0.429,0.061,0.484,0.117,0.563,0.217,0.673,0.386
blk.5.ffn_down.weight,ffn_down,True,1024,0.075,0.042,0.124,0.078,0.205,0.145,0.335,0.265
blk.5.ffn_gate.weight,ffn_gate,True,1024,0.454,0.041,0.492,0.078,0.539,0.148,0.613,0.272
blk.5.ffn_up.weight,ffn_up,True,1024,0.48,0.039,0.512,0.076,0.553,0.144,0.622,0.266
blk.6.attn_k.weight,attn_k,True,1024,0.562,0.1,0.629,0.174,0.707,0.296,0.8,0.48
blk.6.attn_output.weight,attn_o,True,1024,0.199,0.051,0.278,0.095,0.386,0.176,0.535,0.316
blk.6.attn_q.weight,attn_q,True,1024,0.543,0.103,0.606,0.184,0.68,0.304,0.765,0.438
blk.6.attn_v.weight,attn_v,True,1024,0.385,0.064,0.443,0.122,0.523,0.226,0.639,0.399
blk.6.ffn_down.weight,ffn_down,True,1024,0.086,0.043,0.135,0.079,0.217,0.147,0.349,0.269
blk.6.ffn_gate.weight,ffn_gate,True,1024,0.458,0.041,0.501,0.079,0.549,0.149,0.623,0.273
blk.6.ffn_up.weight,ffn_up,True,1024,0.473,0.04,0.508,0.077,0.55,0.145,0.62,0.268
blk.7.attn_k.weight,attn_k,True,1024,0.581,0.083,0.646,0.15,0.709,0.261,0.788,0.435
blk.7.attn_output.weight,attn_o,True,1024,0.1,0.05,0.166,0.093,0.264,0.172,0.41,0.311
blk.7.attn_q.weight,attn_q,True,1024,0.569,0.082,0.625,0.141,0.683,0.227,0.753,0.362
blk.7.attn_v.weight,attn_v,True,1024,0.363,0.061,0.422,0.118,0.498,0.218,0.614,0.388
blk.7.ffn_down.weight,ffn_down,True,1024,0.171,0.045,0.217,0.082,0.294,0.15,0.416,0.273
blk.7.ffn_gate.weight,ffn_gate,True,1024,0.481,0.042,0.521,0.08,0.566,0.151,0.637,0.277
blk.7.ffn_up.weight,ffn_up,True,1024,0.484,0.042,0.518,0.079,0.561,0.149,0.629,0.272
blk.8.attn_k.weight,attn_k,True,1024,0.558,0.118,0.623,0.188,0.694,0.304,0.783,0.478
blk.8.attn_output.weight,attn_o,True,1024,0.158,0.055,0.248,0.099,0.381,0.18,0.559,0.32
blk.8.attn_q.weight,attn_q,True,1024,0.545,0.077,0.596,0.141,0.658,0.246,0.74,0.4
blk.8.attn_v.weight,attn_v,True,1024,0.387,0.062,0.439,0.118,0.512,0.22,0.625,0.389
blk.8.ffn_down.weight,ffn_down,True,1024,0.082,0.045,0.131,0.082,0.212,0.151,0.345,0.274
blk.8.ffn_gate.weight,ffn_gate,True,1024,0.471,0.044,0.514,0.083,0.563,0.154,0.636,0.28
blk.8.ffn_up.weight,ffn_up,True,1024,0.465,0.039,0.501,0.076,0.546,0.145,0.617,0.268
blk.9.attn_k.weight,attn_k,True,1024,0.601,0.1,0.662,0.168,0.727,0.281,0.805,0.456
blk.9.attn_output.weight,attn_o,True,1024,0.138,0.055,0.222,0.101,0.345,0.183,0.516,0.324
blk.9.attn_q.weight,attn_q,True,1024,0.586,0.08,0.639,0.145,0.699,0.25,0.771,0.4
blk.9.attn_v.weight,attn_v,True,1024,0.404,0.065,0.461,0.124,0.535,0.229,0.646,0.403
blk.9.ffn_down.weight,ffn_down,True,1024,0.092,0.045,0.143,0.082,0.228,0.152,0.365,0.277
blk.9.ffn_gate.weight,ffn_gate,True,1024,0.534,0.044,0.576,0.084,0.622,0.158,0.688,0.286
blk.9.ffn_up.weight,ffn_up,True,1024,0.557,0.04,0.592,0.077,0.632,0.146,0.691,0.269
blk.10.attn_k.weight,attn_k,True,1024,0.652,0.082,0.701,0.149,0.753,0.26,0.82,0.433
blk.10.attn_output.weight,attn_o,True,1024,0.126,0.053,0.196,0.097,0.303,0.177,0.457,0.316
blk.10.attn_q.weight,attn_q,True,1024,0.631,0.078,0.676,0.136,0.724,0.222,0.783,0.357
blk.10.attn_v.weight,attn_v,True,1024,0.449,0.062,0.5,0.118,0.566,0.219,0.667,0.388
blk.10.ffn_down.weight,ffn_down,True,1024,0.149,0.044,0.202,0.082,0.285,0.151,0.416,0.275
blk.10.ffn_gate.weight,ffn_gate,True,1024,0.561,0.046,0.603,0.087,0.648,0.164,0.711,0.295
blk.10.ffn_up.weight,ffn_up,True,1024,0.574,0.04,0.611,0.077,0.65,0.147,0.708,0.27
blk.11.attn_k.weight,attn_k,True,1024,0.614,0.086,0.678,0.155,0.75,0.273,0.832,0.457
blk.11.attn_output.weight,attn_o,True,1024,0.17,0.064,0.283,0.112,0.429,0.195,0.597,0.336
blk.11.attn_q.weight,attn_q,True,1024,0.593,0.1,0.651,0.178,0.721,0.298,0.803,0.453
