r128 bytes-variant -> mixed-fc-sharedA-r128-q8-bf16.gguf
blk.3 attn_q/attn_k/attn_v r_s=128 capture=0.354 outs=[12288, 1024, 1024]
blk.7 attn_q/attn_k/attn_v r_s=128 capture=0.349 outs=[12288, 1024, 1024]
blk.11 attn_q/attn_k/attn_v r_s=128 capture=0.369 outs=[12288, 1024, 1024]
blk.15 attn_q/attn_k/attn_v r_s=128 capture=0.345 outs=[12288, 1024, 1024]
blk.19 attn_q/attn_k/attn_v r_s=128 capture=0.361 outs=[12288, 1024, 1024]
blk.23 attn_q/attn_k/attn_v r_s=128 capture=0.393 outs=[12288, 1024, 1024]
blk.27 attn_q/attn_k/attn_v r_s=128 capture=0.405 outs=[12288, 1024, 1024]
blk.31 attn_q/attn_k/attn_v r_s=128 capture=0.361 outs=[12288, 1024, 1024]
blk.35 attn_q/attn_k/attn_v r_s=128 capture=0.368 outs=[12288, 1024, 1024]
blk.39 attn_q/attn_k/attn_v r_s=128 capture=0.399 outs=[12288, 1024, 1024]
blk.43 attn_q/attn_k/attn_v r_s=128 capture=0.404 outs=[12288, 1024, 1024]
blk.47 attn_q/attn_k/attn_v r_s=128 capture=0.391 outs=[12288, 1024, 1024]
blk.51 attn_q/attn_k/attn_v r_s=128 capture=0.418 outs=[12288, 1024, 1024]
blk.55 attn_q/attn_k/attn_v r_s=128 capture=0.425 outs=[12288, 1024, 1024]
blk.59 attn_q/attn_k/attn_v r_s=128 capture=0.435 outs=[12288, 1024, 1024]
blk.63 attn_q/attn_k/attn_v r_s=128 capture=0.505 outs=[12288, 1024, 1024]
blk.0 attn_qkv/attn_gate r_s=128 capture=0.447 outs=[10240, 6144]
blk.1 attn_qkv/attn_gate r_s=128 capture=0.427 outs=[10240, 6144]
blk.2 attn_qkv/attn_gate r_s=128 capture=0.404 outs=[10240, 6144]
blk.4 attn_qkv/attn_gate r_s=128 capture=0.394 outs=[10240, 6144]
blk.5 attn_qkv/attn_gate r_s=128 capture=0.387 outs=[10240, 6144]
blk.6 attn_qkv/attn_gate r_s=128 capture=0.355 outs=[10240, 6144]
blk.8 attn_qkv/attn_gate r_s=128 capture=0.354 outs=[10240, 6144]
blk.9 attn_qkv/attn_gate r_s=128 capture=0.357 outs=[10240, 6144]
blk.10 attn_qkv/attn_gate r_s=128 capture=0.356 outs=[10240, 6144]
blk.12 attn_qkv/attn_gate r_s=128 capture=0.361 outs=[10240, 6144]
blk.13 attn_qkv/attn_gate r_s=128 capture=0.358 outs=[10240, 6144]
blk.14 attn_qkv/attn_gate r_s=128 capture=0.348 outs=[10240, 6144]
blk.16 attn_qkv/attn_gate r_s=128 capture=0.327 outs=[10240, 6144]
blk.17 attn_qkv/attn_gate r_s=128 capture=0.333 outs=[10240, 6144]
blk.18 attn_qkv/attn_gate r_s=128 capture=0.345 outs=[10240, 6144]
blk.20 attn_qkv/attn_gate r_s=128 capture=0.358 outs=[10240, 6144]
blk.21 attn_qkv/attn_gate r_s=128 capture=0.387 outs=[10240, 6144]
blk.22 attn_qkv/attn_gate r_s=128 capture=0.381 outs=[10240, 6144]
blk.24 attn_qkv/attn_gate r_s=128 capture=0.389 outs=[10240, 6144]
blk.25 attn_qkv/attn_gate r_s=128 capture=0.401 outs=[10240, 6144]
blk.26 attn_qkv/attn_gate r_s=128 capture=0.398 outs=[10240, 6144]
blk.28 attn_qkv/attn_gate r_s=128 capture=0.381 outs=[10240, 6144]
