copying BF16 -> h27bf16-DEFLATED.gguf ...
208 carve targets
blk.0.attn_gate.weight capW=0.927 (1/208)
blk.0.attn_qkv.weight capW=0.963 (2/208)
blk.0.ssm_out.weight capW=0.995 (3/208)
blk.1.attn_gate.weight capW=0.872 (4/208)
blk.1.attn_qkv.weight capW=0.834 (5/208)
blk.1.ssm_out.weight capW=0.915 (6/208)
blk.10.attn_gate.weight capW=0.894 (7/208)
blk.10.attn_qkv.weight capW=0.778 (8/208)
blk.10.ssm_out.weight capW=0.708 (9/208)
blk.11.attn_k.weight capW=0.824 (10/208)
blk.11.attn_output.weight capW=0.889 (11/208)
blk.11.attn_q.weight capW=0.979 (12/208)
blk.11.attn_v.weight capW=0.747 (13/208)
blk.12.attn_gate.weight capW=0.918 (14/208)
blk.12.attn_qkv.weight capW=0.814 (15/208)
blk.12.ssm_out.weight capW=0.663 (16/208)
blk.13.attn_gate.weight capW=0.930 (17/208)
blk.13.attn_qkv.weight capW=0.780 (18/208)
blk.13.ssm_out.weight capW=0.530 (19/208)
blk.14.attn_gate.weight capW=0.913 (20/208)
blk.14.attn_qkv.weight capW=0.819 (21/208)
blk.14.ssm_out.weight capW=0.577 (22/208)
blk.15.attn_k.weight capW=0.782 (23/208)
blk.15.attn_output.weight capW=0.741 (24/208)
blk.15.attn_q.weight capW=0.977 (25/208)
blk.15.attn_v.weight capW=0.726 (26/208)
blk.16.attn_gate.weight capW=0.917 (27/208)
blk.16.attn_qkv.weight capW=0.785 (28/208)
blk.16.ssm_out.weight capW=0.552 (29/208)
blk.17.attn_gate.weight capW=0.943 (30/208)
blk.17.attn_qkv.weight capW=0.799 (31/208)
blk.17.ssm_out.weight capW=0.452 (32/208)
blk.18.attn_gate.weight capW=0.929 (33/208)
blk.18.attn_qkv.weight capW=0.820 (34/208)
blk.18.ssm_out.weight capW=0.634 (35/208)
blk.19.attn_k.weight capW=0.809 (36/208)
blk.19.attn_output.weight capW=0.595 (37/208)
blk.19.attn_q.weight capW=0.957 (38/208)
blk.19.attn_v.weight capW=0.637 (39/208)
blk.2.attn_gate.weight capW=0.880 (40/208)
blk.2.attn_qkv.weight capW=0.816 (41/208)
blk.2.ssm_out.weight capW=0.713 (42/208)
blk.20.attn_gate.weight capW=0.923 (43/208)
blk.20.attn_qkv.weight capW=0.890 (44/208)
blk.20.ssm_out.weight capW=0.606 (45/208)
blk.21.attn_gate.weight capW=0.895 (46/208)
blk.21.attn_qkv.weight capW=0.836 (47/208)
blk.21.ssm_out.weight capW=0.713 (48/208)
blk.22.attn_gate.weight capW=0.871 (49/208)
blk.22.attn_qkv.weight capW=0.781 (50/208)
blk.22.ssm_out.weight capW=0.591 (51/208)
blk.23.attn_k.weight capW=0.816 (52/208)
blk.23.attn_output.weight capW=0.634 (53/208)
blk.23.attn_q.weight capW=0.947 (54/208)
blk.23.attn_v.weight capW=0.644 (55/208)
blk.24.attn_gate.weight capW=0.843 (56/208)
blk.24.attn_qkv.weight capW=0.790 (57/208)
blk.24.ssm_out.weight capW=0.553 (58/208)
blk.25.attn_gate.weight capW=0.895 (59/208)
blk.25.attn_qkv.weight capW=0.804 (60/208)
blk.25.ssm_out.weight capW=0.542 (61/208)
blk.26.attn_gate.weight capW=0.900 (62/208)
blk.26.attn_qkv.weight capW=0.786 (63/208)
blk.26.ssm_out.weight capW=0.568 (64/208)
blk.27.attn_k.weight capW=0.838 (65/208)
blk.27.attn_output.weight capW=0.631 (66/208)
